	Kingdom	Phylum	Class	Order	Family	Genus
OTU_5037	Bacteria	Verrucomicrobiota	Chlamydiae	Chlamydiales	Parachlamydiaceae	Parachlamydiaceae_unclassified
OTU_5038	Bacteria	Gammaproteobacteria	Gammaproteobacteria	Gammaproteobacteria_unclassified	Gammaproteobacteria_unclassified	Gammaproteobacteria_unclassified
OTU_5039	Bacteria	Chloroflexi	Chloroflexi_unclassified	Chloroflexi_unclassified	Chloroflexi_unclassified	Chloroflexi_unclassified
OTU_504	Bacteria	Alphaproteobacteria	Alphaproteobacteria	Rhizobiales	Rhodomicrobiaceae	Rhodomicrobium
OTU_5040	Bacteria	Chloroflexi	Chloroflexia	Thermomicrobiales	JG30-KF-CM45	JG30-KF-CM45_ge
OTU_5041	Bacteria	Chloroflexi	Dehalococcoidia	SAR202_clade	SAR202_clade_fa	SAR202_clade_ge
OTU_5042	Bacteria	Firmicutes	Clostridia	Caldicoprobacterales	Caldicoprobacteraceae	Caldicoprobacter
OTU_5043	Bacteria	Bacteroidota	Rhodothermia	Rhodothermales	Rhodothermaceae	Rhodothermaceae_ge
OTU_5044	Bacteria	Myxococcota	Polyangia	Polyangiales	Sandaracinaceae	Sandaracinaceae_unclassified
OTU_5045	Bacteria	Alphaproteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Rubellimicrobium
OTU_5046	Bacteria	Firmicutes	Bacilli	Paenibacillales	Paenibacillaceae	Paenibacillus
OTU_5047	Bacteria	Chloroflexi	Chloroflexi_unclassified	Chloroflexi_unclassified	Chloroflexi_unclassified	Chloroflexi_unclassified
OTU_5048	Bacteria	unclassified	Bacteria_unclassified	Bacteria_unclassified	Bacteria_unclassified	Bacteria_unclassified
OTU_5049	Bacteria	Chloroflexi	Anaerolineae	Ardenticatenales	Ardenticatenaceae	uncultured
OTU_505	Bacteria	Chloroflexi	TK10	TK10_or	TK10_fa	TK10_ge
OTU_5050	Bacteria	Myxococcota	Polyangia	Haliangiales	Haliangiaceae	Haliangium
OTU_5051	Bacteria	Patescibacteria	WWE3	WWE3_or	WWE3_fa	WWE3_ge
OTU_5052	Bacteria	Nitrospirota	Nitrospiria	Nitrospirales	Nitrospiraceae	Nitrospira
OTU_5053	Bacteria	unclassified	Bacteria_unclassified	Bacteria_unclassified	Bacteria_unclassified	Bacteria_unclassified
OTU_5054	Bacteria	Chloroflexi	Chloroflexia	Chloroflexales	Chloroflexales_unclassified	Chloroflexales_unclassified
OTU_5055	Bacteria	Alphaproteobacteria	Alphaproteobacteria	Micavibrionales	uncultured	uncultured_ge
OTU_5056	Bacteria	Actinobacteriota	Actinobacteria	Actinomycetales	Actinomycetaceae	Actinomyces
OTU_5058	Bacteria	Bacteroidota	Bacteroidia	Chitinophagales	Chitinophagaceae	Edaphobaculum
OTU_5059	Bacteria	Actinobacteriota	Actinobacteria	Corynebacteriales	Corynebacteriaceae	Corynebacterium
OTU_506	Bacteria	Chloroflexi	Chloroflexi_unclassified	Chloroflexi_unclassified	Chloroflexi_unclassified	Chloroflexi_unclassified
OTU_5061	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides
