SampleID	Longitude	Latitude	SiteTre
SEJX20NPK7	116.1833333	28.35	SE
SEJX20NPK8	116.1833333	28.35	SE
SEJX20NPK9	116.1833333	28.35	SE
SEJX20NPKM1	116.1833333	28.35	SE
SEJX20NPKM2	116.1833333	28.35	SE
SEJX20NPKM3	116.1833333	28.35	SE
SEJX20NPKM4	116.1833333	28.35	SE
SEJX20NPKM5	116.1833333	28.35	SE
SEJX20NPKM8	116.1833333	28.35	SE
SEJX20NPKM9	116.1833333	28.35	SE
SEHL20CK1	126.8333333	47.35	SE
SEHL20CK2	126.8333333	47.35	SE
SEHL20CK3	126.8333333	47.35	SE
SEHL20NPK1	126.8333333	47.35	SE
SEHL20NPK2	126.8333333	47.35	SE
SEHL20NPK3	126.8333333	47.35	SE
SEHL20NPKM1	126.8333333	47.35	SE
SEHL20NPKM2	126.8333333	47.35	SE
