Sample	berger_parker	buzas_gibson	chao1	dominance	equitability	jost	jost1	reads	richness	robbins	simpson	shannon_e	shannon_2	shannon_10
RJXNPK1	0.0379	0.0145	1612.3	0.991	0.781	167	318.9	22000	1610	0.345	0.00902	5.76	8.32	2.5
RJXNPK2	0.0642	0.014	1583.2	0.989	0.778	154.5	308.7	22000	1581	0.339	0.0105	5.73	8.27	2.49
RJXNPK3	0.0417	0.0116	1541.8	0.988	0.755	127.9	254.6	22000	1539	0.371	0.0117	5.54	7.99	2.41
RJXNPK4	0.0592	0.0101	1355.6	0.987	0.75	113.2	222.7	22000	1352	0.364	0.0133	5.41	7.8	2.35
RJXNPK5	0.0755	0.0092	1312.5	0.984	0.74	98.3	202.3	22000	1309	0.369	0.0162	5.31	7.66	2.31
RJXNPK6	0.0615	0.0101	1432.3	0.985	0.744	106.1	223.3	22000	1430	0.34	0.0148	5.41	7.8	2.35
RJXNPK7	0.0411	0.0136	1505.3	0.991	0.78	160.4	300.2	22000	1503	0.331	0.00927	5.7	8.23	2.48
RJXNPK8	0.141	0.00732	1398.5	0.97	0.702	61.6	161	22000	1395	0.392	0.0298	5.08	7.33	2.21
RJXNPK9	0.0428	0.012	1483.1	0.989	0.764	138.2	264.1	22000	1479	0.372	0.0108	5.58	8.04	2.42
RJXNPKM1	0.0416	0.0189	2013.5	0.992	0.793	202.5	416.5	22000	2011	0.364	0.00806	6.03	8.7	2.62
RJXNPKM2	0.0364	0.0195	2058.5	0.993	0.795	213.1	430	22000	2056	0.357	0.00744	6.06	8.75	2.63
RJXNPKM3	0.0371	0.0264	2242.2	0.995	0.825	313.3	579.8	22000	2240	0.355	0.00508	6.36	9.18	2.76
RJXNPKM4	0.0674	0.0215	2108.9	0.991	0.805	214.1	472.5	22000	2106	0.367	0.00885	6.16	8.88	2.67
RJXNPKM5	0.0348	0.0257	2217.1	0.995	0.823	305.9	564.8	22000	2214	0.372	0.00514	6.34	9.14	2.75
RJXNPKM8	0.0216	0.0304	2338	0.996	0.839	386.5	668.1	22000	2336	0.349	0.00386	6.5	9.38	2.82
RJXNPKM9	0.027	0.0253	2074.4	0.995	0.828	316.9	556.2	22000	2072	0.35	0.00475	6.32	9.12	2.75
RHLSCK1	0.175	0.00985	1760.9	0.963	0.72	61.2	216.8	22000	1758	0.384	0.0369	5.38	7.76	2.34
RHLSCK2	0.14	0.0108	1796.8	0.972	0.73	76	236.8	22000	1794	0.393	0.0279	5.47	7.89	2.37
RHLSCK3	0.154	0.0112	1816.5	0.971	0.734	76.3	247	22000	1814	0.376	0.0292	5.51	7.95	2.39
RHLSNPK1	0.0705	0.0157	1797.7	0.988	0.78	153	346	22000	1795	0.361	0.012	5.85	8.43	2.54
RHLSNPK2	0.0803	0.0145	1817	0.986	0.768	133	318.1	22000	1814	0.378	0.0142	5.76	8.31	2.5
RHLSNPK3	0.0721	0.0149	1793.7	0.988	0.773	145.4	326.8	22000	1791	0.374	0.0125	5.79	8.35	2.51
RHLSNPKM1	0.115	0.0126	1859.1	0.979	0.747	98.5	276.5	22000	1856	0.384	0.0205	5.62	8.11	2.44
RHLSNPKM2	0.0644	0.0184	1834.8	0.991	0.799	195.6	403.7	22000	1832	0.352	0.00908	6	8.66	2.61
RHLSNPKM3	0.027	0.0207	1939.2	0.994	0.809	252	455.6	22000	1936	0.375	0.00596	6.12	8.83	2.66
RHLLCK1	0.0489	0.019	1845.1	0.993	0.803	224.3	418.1	22000	1843	0.347	0.00706	6.04	8.71	2.62
RHLLCK2	0.0501	0.0171	1830.4	0.992	0.789	193.8	375.6	22000	1828	0.358	0.00816	5.93	8.55	2.57
RHLLCK3	0.0283	0.0196	1833.9	0.994	0.808	247.6	431.3	22000	1831	0.373	0.00589	6.07	8.75	2.63
RHLLNPK1	0.11	0.0158	1849.9	0.984	0.778	134.1	346.8	22000	1847	0.382	0.0162	5.85	8.44	2.54
RHLLNPK2	0.081	0.0161	1868	0.988	0.779	158.3	353.4	22000	1864	0.408	0.0117	5.87	8.47	2.55
RHLLNPK3	0.06	0.0194	1963	0.991	0.799	205.8	425.9	22000	1960	0.372	0.00851	6.05	8.73	2.63
RHLLNPKM1	0.0703	0.0198	2021.7	0.991	0.798	199.1	434.6	22000	2019	0.368	0.00941	6.07	8.76	2.64
RHLLNPKM2	0.0272	0.0243	2083.9	0.995	0.822	306.4	535.6	22000	2081	0.378	0.00485	6.28	9.06	2.73
RHLLNPKM3	0.0161	0.0278	2175.7	0.996	0.835	368.7	611	22000	2173	0.365	0.00386	6.42	9.26	2.79
REJXCK1	0.243	0.00107	541.8	0.892	0.502	12.4	23.5	22000	537	0.439	0.108	3.16	4.55	1.37
REJXCK2	0.132	0.00173	569.5	0.944	0.575	22.6	38.1	22000	564	0.421	0.0564	3.64	5.25	1.58
REJXCK3	0.174	0.00213	818.2	0.937	0.574	22.4	46.9	22000	814	0.426	0.0633	3.85	5.55	1.67
REJXCK4	0.333	0.000844	519.6	0.853	0.468	9.38	18.6	22000	515	0.452	0.147	2.92	4.22	1.27
REJXCK5	0.246	0.00118	513.1	0.901	0.523	13.7	26	22000	509	0.408	0.099	3.26	4.7	1.42
REJXCK6	0.196	0.00135	506.8	0.925	0.545	17.3	29.6	22000	500	0.441	0.0753	3.39	4.89	1.47
REJXCK7	0.285	0.00139	757.8	0.878	0.516	12.3	30.6	22000	755	0.398	0.122	3.42	4.93	1.49
REJXCK8	0.239	0.00185	734.1	0.914	0.562	17.6	40.6	22000	732	0.359	0.0856	3.7	5.34	1.61
REJXCK9	0.246	0.00168	691.8	0.912	0.552	16.8	36.9	22000	688	0.431	0.0885	3.61	5.21	1.57
REJXNPK1	0.226	0.00137	627.6	0.909	0.529	15.1	30.1	22000	623	0.441	0.091	3.41	4.91	1.48
REJXNPK2	0.145	0.00196	586.3	0.944	0.592	24.2	43.2	22000	581	0.421	0.0558	3.77	5.43	1.64
REJXNPK3	0.152	0.00166	584.9	0.935	0.565	20.3	36.5	22000	582	0.393	0.065	3.6	5.19	1.56
REJXNPK4	0.183	0.00164	555.7	0.928	0.568	19.1	36.2	22000	551	0.409	0.0723	3.59	5.18	1.56
REJXNPK5	0.129	0.00213	673.6	0.95	0.591	26.3	46.8	22000	670	0.401	0.05	3.85	5.55	1.67
REJXNPK6	0.182	0.00167	607.9	0.922	0.563	18.3	36.8	22000	604	0.41	0.0775	3.61	5.2	1.57
REJXNPK7	0.154	0.00187	665.6	0.932	0.572	20.4	41.2	22000	663	0.398	0.0685	3.72	5.36	1.61
REJXNPK8	0.144	0.00178	650.3	0.934	0.567	20.5	39.1	22000	646	0.431	0.0656	3.67	5.29	1.59
