OTUID	BS	P	LE	RS	RE	SE	VE
OTU_641	1.36E-02	1.06E-05	7.42E-06	1.65E-02	2.93E-02	0.00E+00	0.00E+00
OTU_6410	1.69E-03	3.34E-05	3.88E-06	6.54E-03	7.67E-03	0.00E+00	0.00E+00
OTU_6411	1.71E-04	0.00E+00	0.00E+00	1.59E-04	1.27E-04	0.00E+00	0.00E+00
OTU_6412	7.60E-04	0.00E+00	0.00E+00	3.38E-04	1.82E-05	0.00E+00	0.00E+00
OTU_6413	9.08E-04	0.00E+00	0.00E+00	4.70E-04	3.61E-06	5.42E-06	0.00E+00
OTU_6414	5.97E-04	0.00E+00	0.00E+00	5.43E-05	0.00E+00	0.00E+00	0.00E+00
OTU_6415	9.30E-04	0.00E+00	0.00E+00	2.52E-04	0.00E+00	1.25E-03	0.00E+00
OTU_6416	8.73E-03	2.21E-05	1.52E-06	1.85E-03	1.29E-04	0.00E+00	0.00E+00
OTU_6417	8.03E-04	0.00E+00	0.00E+00	1.99E-04	9.97E-06	0.00E+00	0.00E+00
OTU_6418	5.28E-04	0.00E+00	0.00E+00	3.47E-05	1.37E-05	0.00E+00	0.00E+00
OTU_6419	6.44E-04	0.00E+00	0.00E+00	1.99E-04	3.13E-06	0.00E+00	0.00E+00
OTU_642	1.24E-05	5.24E-03	8.15E-04	1.14E-04	4.98E-04	5.91E-02	2.49E-05
OTU_6420	4.03E-04	1.76E-05	0.00E+00	3.27E-04	3.09E-04	6.06E-06	0.00E+00
OTU_6421	1.49E-04	0.00E+00	0.00E+00	3.68E-05	3.49E-04	0.00E+00	0.00E+00
OTU_6425	0.00E+00	6.86E-05	5.42E-06	0.00E+00	0.00E+00	0.00E+00	0.00E+00
OTU_6426	3.97E-03	3.98E-04	1.97E-04	6.66E-03	1.20E-01	4.29E-05	3.32E-05
OTU_6427	4.88E-04	0.00E+00	2.25E-06	1.44E-03	5.94E-03	0.00E+00	0.00E+00
OTU_6428	2.37E-04	0.00E+00	0.00E+00	1.28E-04	4.22E-04	0.00E+00	0.00E+00
OTU_6429	3.91E-05	0.00E+00	0.00E+00	4.03E-05	6.79E-04	9.53E-05	0.00E+00
OTU_643	5.00E-02	9.56E-06	0.00E+00	2.26E-02	6.61E-04	0.00E+00	0.00E+00
OTU_6430	1.44E-04	0.00E+00	0.00E+00	3.12E-04	5.15E-05	2.43E-05	0.00E+00
OTU_6431	2.51E-06	0.00E+00	0.00E+00	7.38E-06	2.54E-06	3.81E-04	0.00E+00
OTU_6432	4.44E-04	2.47E-06	0.00E+00	2.43E-04	0.00E+00	3.77E-04	0.00E+00
OTU_6433	5.91E-06	0.00E+00	0.00E+00	4.81E-05	0.00E+00	4.14E-04	0.00E+00
OTU_6434	0.00E+00	6.44E-05	1.97E-06	0.00E+00	0.00E+00	3.47E-04	0.00E+00
OTU_6435	1.29E-03	0.00E+00	2.25E-06	5.24E-04	5.44E-05	3.55E-06	0.00E+00
OTU_6436	1.36E-03	0.00E+00	0.00E+00	1.18E-03	1.19E-04	0.00E+00	0.00E+00
OTU_6437	2.20E-03	0.00E+00	0.00E+00	1.12E-04	9.48E-06	1.06E-04	0.00E+00
OTU_6438	2.30E-03	0.00E+00	0.00E+00	2.68E-04	0.00E+00	0.00E+00	0.00E+00
OTU_6439	3.46E-03	1.47E-05	0.00E+00	6.87E-04	5.73E-05	0.00E+00	0.00E+00
OTU_644	1.28E-02	1.59E-04	5.38E-05	1.70E-02	8.17E-03	1.05E-03	4.32E-06
OTU_6440	2.23E-04	0.00E+00	0.00E+00	5.11E-04	7.85E-05	5.39E-06	0.00E+00
