	otu	otu_occ	otu_rel
428	OTU_4062	0.016666667	7.832024e-07
429	OTU_105	0.083333333	5.561146e-07
430	OTU_52	0.100000000	4.486248e-07
431	OTU_91	0.100000000	6.276276e-07
432	OTU_980	0.075000000	5.025685e-07
433	OTU_128	0.050000000	4.554827e-07
434	OTU_654	0.091666667	6.385090e-07
435	OTU_3709	0.066666667	4.893309e-07
436	OTU_218	0.075000000	9.368078e-07
437	OTU_6850	0.083333333	3.251543e-07
438	OTU_4626	0.050000000	5.035604e-07
439	OTU_646	0.058333333	7.158986e-07
440	OTU_1131	0.075000000	5.766089e-07
441	OTU_703	0.083333333	6.218003e-07
442	OTU_875	0.033333333	4.151875e-07
443	OTU_707	0.091666667	5.001170e-07
444	OTU_4295	0.058333333	7.670130e-07
445	OTU_2302	0.016666667	4.218053e-07
446	OTU_11854	0.033333333	5.994386e-07
447	OTU_1080	0.066666667	2.429392e-07
448	OTU_2525	0.025000000	7.826914e-07
449	OTU_2889	0.041666667	6.448522e-07
450	OTU_8284	0.091666667	1.214577e-06
451	OTU_4380	0.025000000	7.724551e-07
452	OTU_8810	0.100000000	4.113639e-07
453	OTU_5018	0.066666667	5.475437e-07
454	OTU_7178	0.016666667	2.172966e-07
455	OTU_5059	0.025000000	3.395766e-07
456	OTU_83	0.050000000	4.815121e-07
457	OTU_103	0.066666667	3.474300e-07
458	OTU_140	0.091666667	7.918080e-07
459	OTU_131	0.083333333	5.361379e-07
460	OTU_278	0.033333333	2.648161e-07
461	OTU_394	0.083333333	8.044976e-07
462	OTU_158	0.091666667	6.034924e-07
463	OTU_772	0.075000000	5.814432e-07
464	OTU_398	0.041666667	3.452903e-07
465	OTU_353	0.066666667	3.781767e-07
466	OTU_7460	0.041666667	4.146489e-07
467	OTU_4279	0.066666667	3.241020e-07
468	OTU_451	0.041666667	1.458880e-06
469	OTU_3576	0.075000000	7.016487e-07
470	OTU_2220	0.083333333	5.435124e-07
471	OTU_821	0.075000000	4.902781e-07
472	OTU_5629	0.066666667	8.346867e-07
473	OTU_2422	0.075000000	3.691935e-07
